country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",27-03-2025 13:00,26.181742,91.78063,SO2,18,21,20
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",27-03-2025 13:00,26.349082,92.68449,CO,22,106,34
India,Assam,Silchar,"Tarapur, Silchar - PCBA",27-03-2025 13:00,24.82827,92.79525,NO2,6,11,10
India,Assam,Silchar,"Tarapur, Silchar - PCBA",27-03-2025 13:00,24.82827,92.79525,NH3,1,2,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA",27-03-2025 13:00,24.82827,92.79525,SO2,1,12,4
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",27-03-2025 13:00,26.987634,94.636574,PM10,42,96,73
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",27-03-2025 13:00,14.675886,77.593027,PM2.5,46,62,52
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",27-03-2025 13:00,14.675886,77.593027,PM10,49,67,55
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",27-03-2025 13:00,14.675886,77.593027,CO,12,16,14
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",27-03-2025 13:00,14.465052,78.824187,NO2,14,38,22
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27-03-2025 13:00,16.9872867,81.7363176,PM10,50,83,62
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",27-03-2025 13:00,13.67,79.35,PM10,42,104,64
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",27-03-2025 13:00,13.615387,79.40923,NH3,45,45,45
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",27-03-2025 13:00,16.536107,80.594233,PM10,46,110,75
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",27-03-2025 13:00,16.536107,80.594233,NH3,3,3,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",27-03-2025 13:00,17.72,83.3,PM10,52,191,97
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",27-03-2025 13:00,17.72,83.3,CO,14,94,27
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",27-03-2025 13:00,26.071318,91.87488,SO2,21,31,29
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",27-03-2025 13:00,26.071318,91.87488,OZONE,19,112,30
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",27-03-2025 13:00,16.486692,80.699436,CO,13,21,16
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",27-03-2025 13:00,16.509717,80.612222,PM10,56,88,74
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",27-03-2025 13:00,16.509717,80.612222,NH3,3,4,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",27-03-2025 13:00,16.554731,80.64911,PM2.5,37,191,56
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",27-03-2025 13:00,11.654054,92.734055,PM10,45,45,45
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",27-03-2025 13:00,11.654054,92.734055,CO,32,59,41
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",27-03-2025 13:00,16.5150833,80.5181667,PM2.5,39,64,51
India,Assam,Guwahati,"IITG, Guwahati - PCBA",27-03-2025 13:00,26.2028636,91.70046436,CO,12,30,24
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",27-03-2025 13:00,26.10887,91.589544,SO2,4,15,12
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",27-03-2025 13:00,26.10887,91.589544,CO,9,66,22
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",27-03-2025 13:00,25.5626095,84.663264,CO,11,26,22
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",27-03-2025 13:00,24.75746,84.366208,NO2,2,3,2
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",27-03-2025 13:00,26.987634,94.636574,OZONE,1,16,3
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",27-03-2025 13:00,26.146529,87.454184,SO2,23,34,27
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",27-03-2025 13:00,25.42742023,86.13886079,PM10,45,369,165
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",27-03-2025 13:00,25.42742023,86.13886079,OZONE,1,43,8
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",27-03-2025 13:00,24.762518,84.982348,NO2,17,25,22
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",27-03-2025 13:00,24.762518,84.982348,NH3,3,4,3
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",27-03-2025 13:00,25.697189,85.2459,PM10,121,449,227
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",27-03-2025 13:00,25.697189,85.2459,SO2,5,8,6
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",27-03-2025 13:00,26.0881305,87.93840336,CO,62,128,68
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",27-03-2025 13:00,26.0881305,87.93840336,OZONE,19,23,20
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27-03-2025 13:00,27.308328,84.531742,PM2.5,70,283,114
India,Bihar,Patna,"Samanpura, Patna - BSPCB",27-03-2025 13:00,25.596727,85.085624,SO2,4,7,6
India,Bihar,Patna,"Samanpura, Patna - BSPCB",27-03-2025 13:00,25.596727,85.085624,OZONE,38,59,57
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",27-03-2025 13:00,25.366336,87.117468,NO2,15,19,18
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",27-03-2025 13:00,25.366336,87.117468,OZONE,17,75,27
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",27-03-2025 13:00,25.0328,85.41948,NH3,2,2,2
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",27-03-2025 13:00,25.892357,86.590325,PM2.5,50,257,131
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",27-03-2025 13:00,25.892357,86.590325,PM10,71,131,101
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",27-03-2025 13:00,24.952822,84.002396,NO2,2,2,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",27-03-2025 13:00,24.952822,84.002396,SO2,5,5,5
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",27-03-2025 13:00,24.952822,84.002396,OZONE,2,14,9
India,Bihar,Siwan,"Chitragupta 45gar, Siwan - BSPCB",27-03-2025 13:00,26.2271665,84.3570427,PM10,45,45,45
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",27-03-2025 13:00,26.2271665,84.3570427,SO2,5,10,7
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",27-03-2025 13:00,26.2271665,84.3570427,CO,80,125,97
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",27-03-2025 13:00,26.2271665,84.3570427,OZONE,1,120,54
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",27-03-2025 13:00,25.251013,86.989001,PM2.5,27,87,46
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",27-03-2025 13:00,25.251013,86.989001,NO2,20,58,28
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",27-03-2025 13:00,25.251013,86.989001,SO2,40,69,57
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",27-03-2025 13:00,25.265194,87.012947,PM2.5,10,177,97
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",27-03-2025 13:00,25.56752,83.966379,PM10,72,141,103
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",27-03-2025 13:00,25.56752,83.966379,SO2,2,13,7
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",27-03-2025 13:00,25.610369,85.132568,NO2,13,13,13
